City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Talas,38.6908,35.5538,52.47,87,40,3.44,scattered clouds
1,Khatanga,71.9667,102.5,25.92,69,8,16.98,clear sky
2,Bambous Virieux,-20.3428,57.7575,71.22,88,75,11.5,light rain
3,Chauk,20.8833,94.8167,82.22,74,71,5.44,broken clouds
4,Furano,43.2818,142.4743,60.3,46,0,6.11,clear sky
5,Bluff,-46.6,168.3333,58.8,69,26,4.34,scattered clouds
6,Kapaa,22.0752,-159.319,84.52,68,20,11.5,few clouds
7,Yellowknife,62.456,-114.3525,54.12,76,40,5.75,scattered clouds
8,Cape Town,-33.9258,18.4232,60.39,83,0,8.05,clear sky
9,Kapuskasing,49.4169,-82.4331,44.69,100,100,17.27,light intensity drizzle rain
10,Kitimat,54.0524,-128.6534,68.38,56,100,3.13,overcast clouds
11,Monte San Giovanni Campano,41.6406,13.5137,55.0,85,18,5.86,few clouds
12,Sorland,67.667,12.6934,53.46,87,100,28.79,light rain
13,Synya,65.3718,58.0387,33.17,93,24,8.79,few clouds
14,Kindu,-2.95,25.95,70.12,98,100,2.42,overcast clouds
15,Hilo,19.7297,-155.09,82.27,74,0,5.75,clear sky
16,Rosario,-32.9468,-60.6393,56.95,61,0,9.22,clear sky
17,Jamestown,42.097,-79.2353,73.51,67,75,8.05,broken clouds
18,Atuona,-9.8,-139.0333,76.39,81,33,21.16,light rain
19,Rikitea,-23.1203,-134.9692,72.93,74,0,13.51,light rain
20,Boone,39.0334,-92.3335,72.52,57,91,12.59,overcast clouds
21,Taltal,-25.4,-70.4833,60.48,54,0,5.55,clear sky
22,Severo-Kurilsk,50.6789,156.125,52.75,65,1,16.33,clear sky
23,Springfield,37.2153,-93.2982,78.53,75,40,9.22,scattered clouds
24,Longyearbyen,78.2186,15.6401,33.64,69,20,24.16,few clouds
25,Touros,-5.1989,-35.4608,76.3,82,3,12.03,clear sky
26,Chuy,-33.6971,-53.4616,50.77,82,100,4.79,overcast clouds
27,Rocha,-34.4833,-54.3333,44.13,89,100,3.71,overcast clouds
28,Khash,28.2211,61.2158,68.68,21,0,2.19,clear sky
29,Port Elizabeth,-33.918,25.5701,55.31,84,0,4.61,clear sky
30,Punta Arenas,-53.15,-70.9167,48.31,76,75,8.05,light rain
31,Ushuaia,-54.8,-68.3,47.86,57,40,13.8,scattered clouds
32,Zyryanka,65.75,150.85,33.6,90,100,26.04,light snow
33,Egvekinot,66.3167,-179.1667,32.32,99,100,10.42,snow
34,Castro,-24.7911,-50.0119,58.89,99,100,2.01,overcast clouds
35,Leningradskiy,69.3833,178.4167,36.45,97,100,14.76,overcast clouds
36,Mount Gambier,-37.8333,140.7667,55.31,82,100,3.44,overcast clouds
37,Arraial Do Cabo,-22.9661,-42.0278,68.09,97,100,3.49,light rain
38,Busselton,-33.65,115.3333,54.97,52,100,4.92,overcast clouds
39,Villa Carlos Paz,-31.4241,-64.4978,42.39,50,4,4.0,clear sky
40,Chifeng,42.2683,118.9636,64.53,37,100,12.59,overcast clouds
41,San Patricio,28.017,-97.5169,84.06,64,1,8.88,clear sky
42,Sitka,57.0531,-135.33,57.09,88,100,6.91,moderate rain
43,Ribeira Grande,38.5167,-28.7,74.5,84,33,10.29,scattered clouds
44,Kahului,20.8947,-156.47,87.82,67,40,24.16,scattered clouds
45,Codrington,-38.2667,141.9667,60.04,77,98,3.15,overcast clouds
46,Nikolskoye,59.7035,30.7861,45.79,97,18,2.57,few clouds
47,Salalah,17.0151,54.0924,80.69,78,75,3.44,broken clouds
48,New Norfolk,-42.7826,147.0587,70.88,40,8,3.0,clear sky
49,Kavieng,-2.5744,150.7967,83.5,70,32,10.42,scattered clouds
50,Albany,42.6001,-73.9662,69.58,85,94,4.52,overcast clouds
51,Vaini,-21.2,-175.2,82.56,78,40,10.36,scattered clouds
52,Bredasdorp,-34.5322,20.0403,49.23,82,42,4.54,scattered clouds
53,Hovd,48.0056,91.6419,54.99,40,0,0.76,clear sky
54,Saskylakh,71.9167,114.0833,23.67,85,83,4.18,broken clouds
55,Pulaski,34.7668,-92.3001,85.48,60,0,9.22,clear sky
56,Blagoyevo,63.3667,47.9167,35.8,96,10,2.33,clear sky
57,Caravelas,-17.7125,-39.2481,73.78,84,100,10.6,overcast clouds
